Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out1_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
266,266,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
267,267,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
268,268,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
269,269,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
270,270,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
271,271,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
272,272,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
273,273,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
274,274,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
275,275,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
276,276,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
277,277,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
278,278,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
279,279,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
280,280,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
281,281,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
282,282,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
283,283,0,0,000000000000000000000000000101000000000000000000000000000001010000000000000000000000000000010100
284,284,0,0,000000000000000000000000001000100000000000000000000000000010001000000000000000000000000000100010
285,285,0,0,000000000000000000000000000110000000000000000000000000000001100000000000000000000000000000011000
286,286,0,0,000000000000000000000000000100100000000000000000000000000001001000000000000000000000000000010010
287,287,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
288,288,0,0,000000000000000000000000000101000000000000000000000000000001010000000000000000000000000000010100
289,289,0,0,000000000000000000000000000110000000000000000000000000000001100000000000000000000000000000011000
290,290,0,0,000000000000000000000000001110000000000000000000000000000011100000000000000000000000000000111000
291,291,0,0,000000000000000000000000010001000000000000000000000000000100010000000000000000000000000001000100
292,292,0,0,000000000000000000000000111000000000000000000000000000001110000000000000000000000000000011100000
293,293,0,0,000000000000000000000000101111000000000000000000000000001011110000000000000000000000000010111100
294,294,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
295,295,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
296,296,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
297,297,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
298,298,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
299,299,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
300,300,0,0,000000000000000000000000110111000000000000000000000000001101110000000000000000000000000011011100
301,301,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
302,302,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
303,303,0,0,000000000000000000000000001101100000000000000000000000000011011000000000000000000000000000110110
304,304,0,0,000000000000000000000000001001000000000000000000000000000010010000000000000000000000000000100100
305,305,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
306,306,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
307,307,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
308,308,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
309,309,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
310,310,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
311,311,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
312,312,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
313,313,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
314,314,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
315,315,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
316,316,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
317,317,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
318,318,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
319,319,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
320,320,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
321,321,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
322,322,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
